"INCIDENT INFO","DESCRIPTION","START_DT","MODIFIED_DT","QUADRANT","Longitude","Latitude","location","Count"
"Eastbound Mcknight Boulevard and Centre Street N","Multi-vehicle incident. Blocking two left lanes","2018 Jan 19 02:18:20 PM","2018 Jan 19 02:25:40 PM","NE","-114.06242751569","51.09610335796","(51.096103357957, -114.062427515694)","1"
"68 Street and 64 Avenue NE","Two vehicle incident.","2018 Jan 19 12:13:48 PM","2018 Jan 19 12:14:50 PM","NE","-113.93513492255","51.11069689717","(51.110696897166, -113.935134922553)","1"
"Eastbound Memorial Drive and Edmonton Trail NE","Multi-vehicle incident.","2018 Jan 19 11:54:25 AM","2018 Jan 19 11:55:18 AM","NE","-114.05033553746","51.05060185225","(51.050601852248, -114.050335537459)","1"
"Southbound Deerfoot Trail at Memorial Drive SE","Multi-vehicle incident.","2018 Jan 19 08:57:56 AM","2018 Jan 19 08:59:33 AM","NE","-114.01943425564","51.04885987642","(51.048859876417, -114.019434255636)","1"
"Southbound Crowchild Trail at 5 Avenue NW","Two vehicle incident.","2018 Jan 19 08:54:31 AM","2018 Jan 19 08:59:33 AM","NW","-114.11846822707","51.05721799396","(51.057217993961, -114.118468227069)","1"
"Southbound 52 Street at 61 Avenue SE","Multi-vehicle incident.","2018 Jan 19 08:35:23 AM","2018 Jan 19 08:36:42 AM","SE","-113.95905579498","50.99903906247","(50.999039062469, -113.959055794978)","1"
"Cranston Avenue and Cranberry Road SE","Multi-vehicle incident.","2018 Jan 19 08:00:27 AM","2018 Jan 19 08:02:42 AM","SE","-113.97653163401","50.87930573941","(50.879305739413, -113.976531634013)","1"
"Eastbound Stoney Trail and Chaparral Boulevard SE","Single vehicle incident.","2018 Jan 19 06:42:12 AM","2018 Jan 19 06:43:21 AM","SE","-114.02565149329","50.8889424507","(50.888942450703, -114.025651493291)","1"
"Deerfoot Trail and Mcknight Boulevard NE","Single vehicle incident.","2018 Jan 19 04:49:15 AM","2018 Jan 19 04:49:59 AM","NE","-114.04781392799","51.09614755415","(51.096147554151, -114.047813927993)","1"
"Westbound Memorial Drive and Centre Street NW","Two vehicle incident. blocking the right lane","2018 Jan 18 08:25:12 PM","2018 Jan 18 08:26:54 PM","NW","-114.0624120611","51.05375034158","(51.053750341578, -114.062412061101)","1"
